  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 196    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 197    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 198    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 199    4    0   60.00  50.00     3      5    6      1      4     3    75.00
 200    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 201    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 202    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 203    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 204    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 205    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 206    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 207    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 208    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 209    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 210    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 211    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 212    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 213    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 214    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 215    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 216    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 217    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 218    3    0   40.00  50.00     2      5    4      1      3     1    33.33
 219    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 220    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 221    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 222    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 223    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 224    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 225    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 226    4    0   66.67  80.00     4      6    5      0      4     3    75.00
 227    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 228    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 229    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 230    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 231    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 232    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 233    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 234    3    0   40.00  50.00     2      5    4      0      3     1    33.33
 235    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 236    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 237    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 238    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 239    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 240    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 241    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 242    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 243    3    0   40.00  50.00     2      5    4      0      3     1    33.33
 244    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 245    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 246    5    0   83.33  83.33     5      6    6      0      5     5   100.00
 247    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 248    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 249    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 250    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 251    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 252    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 253    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 254    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 255    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 256    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 257    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 258    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 259    4    0   83.33  83.33     5      6    6      1      4     4   100.00
